Alabama,WTA,729547,34.36%,,1318255,62.08%,9,44467,2.09%,,9391,0.44%,,,,,21712,1.02%,,588708,27.73%,2123372,AL,[380]
Alaska,WTA,116454,36.55%,,163387,51.28%,3,18725,5.88%,,5735,1.80%,,,,,14307,4.49%,,46933,14.73%,318608,AK,[381]
Arizona,WTA,1161167,45.13%,,1252401,48.67%,11,106327,4.13%,,34345,1.33%,,17449,0.68%,,1476,0.06%,,91234,3.55%,2573165,AZ,[382]
Arkansas,WTA,380494,33.65%,,684872,60.57%,6,29829,2.64%,,9473,0.84%,,13255,1.17%,,12712,1.12%,,304378,26.92%,1130635,AR,[383]
California,WTA,8753788,61.73%,55,4483810,31.62%,,478500,3.37%,,278657,1.96%,,39596,0.28%,,147244,1.04%,,-4269978,-30.11%,14181595,CA,[384]
Colorado,WTA,1338870,48.16%,9,1202484,43.25%,,144121,5.18%,,38437,1.38%,,28917,1.04%,,27418,0.99%,,-136386,-4.91%,2780247,CO,[385]
Connecticut,WTA,897572,54.57%,7,673215,40.93%,,48676,2.96%,,22841,1.39%,,2108,0.13%,,508,0.03%,,-224357,-13.64%,1644920,CT,[386]
Delaware,WTA,235603,53.09%,3,185127,41.72%,,14757,3.32%,,6103,1.37%,,706,0.16%,,1518,0.34%,,-50476,-11.37%,443814,DE,[387][388]
District of Columbia,WTA,282830,90.48%,3,12723,4.07%,,4906,1.57%,,4258,1.36%,,,,,6551,2.52%,,-270107,-86.78%,311268,DC,[389]
Florida,WTA,4504975,47.82%,,4617886,49.02%,29,207043,2.20%,,64399,0.68%,,,,,25736,0.28%,,112911,1.20%,9420039,FL,[390]
Georgia,WTA,1877963,45.64%,,2089104,50.77%,16,125306,3.05%,,7674,0.19%,,13017,0.32%,,1668,0.04%,,211141,5.13%,4114732,GA,[391][392]
Hawaii,WTA,266891,62.22%,3,128847,30.03%,,15954,3.72%,,12737,2.97%,,,,,4508,1.05%,1,-138044,-32.18%,428937,HI,[393]
Idaho,WTA,189765,27.49%,,409055,59.26%,4,28331,4.10%,,8496,1.23%,,46476,6.73%,,8132,1.18%,,219290,31.77%,690255,ID,[394]
Illinois,WTA,3090729,55.83%,20,2146015,38.76%,,209596,3.79%,,76802,1.39%,,11655,0.21%,,1627,0.03%,,-944714,-17.06%,5536424,IL,[395]
Indiana,WTA,1033126,37.91%,,1557286,56.82%,11,133993,4.89%,,7841,0.27%,,,,,2712,0.10%,,524160,19.17%,2734958,IN,[396]
Iowa,WTA,653669,41.74%,,800983,51.15%,6,59186,3.78%,,11479,0.73%,,12366,0.79%,,28348,1.81%,,147314,9.41%,1566031,IA,[397]
Kansas,WTA,427005,36.05%,,671018,56.65%,6,55406,4.68%,,23506,1.98%,,6520,0.55%,,947,0.08%,,244013,20.60%,1184402,KS,[398]
Kentucky,WTA,628854,32.68%,,1202971,62.52%,8,53752,2.79%,,13913,0.72%,,22780,1.18%,,1879,0.10%,,574177,29.84%,1924149,KY,[399]
Louisiana,WTA,780154,38.45%,,1178638,58.09%,8,37978,1.87%,,14031,0.69%,,8547,0.42%,,9684,0.48%,,398484,19.64%,2029032,LA,[400]
Maine,WTA[a],357735,47.83%,2,335593,44.87%,,38105,5.09%,,14251,1.91%,,1887,0.25%,,356,0.05%,,-22142,-2.96%,747927,MEa/l,[401][402]
Maryland,WTA,1677928,60.33%,10,943169,33.91%,,79605,2.86%,,35945,1.29%,,9630,0.35%,,35169,1.26%,,-734759,-26.42%,2781446,MD,[403]
Massachusetts,WTA,1995196,60.01%,11,1090893,32.81%,,138018,4.15%,,47661,1.43%,,2719,0.08%,,50559,1.52%,,-904303,-27.20%,3325046,MA,[404]
Michigan,WTA,2268839,47.27%,,2279543,47.50%,16,172136,3.59%,,51463,1.07%,,8177,0.17%,,19126,0.40%,,10704,0.22%,4799284,MI,[405]
Minnesota,WTA,1367716,46.44%,10,1322951,44.92%,,112972,3.84%,,36985,1.26%,,53076,1.80%,,51113,1.74%,,-44765,-1.52%,2944813,MN,[406]
Mississippi,WTA,485131,40.11%,,700714,57.94%,6,14435,1.19%,,3731,0.31%,,,,,5346,0.44%,,215583,17.83%,1209357,MS,[407]
Missouri,WTA,1071068,38.14%,,1594511,56.77%,10,97359,3.47%,,25419,0.91%,,7071,0.25%,,13177,0.47%,,523443,18.64%,2808605,MO,[408]
Montana,WTA,177709,35.75%,,279240,56.17%,3,28037,5.64%,,7970,1.60%,,2297,0.46%,,1894,0.38%,,101531,20.42%,497147,MT,[409][410]
Nebraska,WTA,284494,33.70%,,495961,58.75%,2,38946,4.61%,,8775,1.04%,,,,,16051,1.90%,,211467,25.05%,844227,NEa/l,[411]
